subject,predicate,object,confidence,source,section,correctness,relevance,well_formedness,normalized_score,rationale,error
smoking,risk_factor_of,dementia,0.7833497881889344,span,introduction,5,5,5,1.0,Smoking is a known risk factor for dementia and the triple is accurate and well-formed.,
educational_level,risk_factor_of,dementia,0.7822659522294999,span,keywords,5,5,5,1.0,Lower educational level is a well‑established risk factor for dementia and the triple fits the schema.,
risk_score,predicts,cognitive_decline,0.7818325489759446,span,results,5,5,5,1.0,"A risk score predicting cognitive decline is a plausible, relevant, and well‑formed relation.",
smoking,risk_factor_of,dementia,0.7788545846939088,span,background,5,5,5,1.0,Smoking is associated with a higher risk of dementia.,
migraine,causes,recurrent_headaches,0.7762506514787675,span,introduction,5,5,5,1.0,"Migraine is a recognized cause of recurrent headaches, so this is accurate and well-formed.",
migraine,causes,headaches,0.7741784214973451,span,introduction,5,5,5,1.0,"Stating that migraine causes headaches is accurate, informative, and well-structured.",
social_isolation,risk_factor_of,dementia,0.7731188595294953,span,introduction,5,5,5,1.0,Social isolation is a recognized risk factor for dementia and the triple is clear and appropriate.,
physical_inactivity,risk_factor_of,dementia,0.7683426052331925,span,introduction,5,5,5,1.0,Physical inactivity is a documented modifiable risk factor for dementia and the triple fits the schema well.,
diabetes,risk_factor_of,dementia,0.7678625345230103,span,background,5,5,5,1.0,"Diabetes, especially type 2 and midlife onset, is a recognized risk factor for dementia.",
diabetes,risk_factor_of,dementia,0.7674228310585023,span,conclusions,5,5,5,1.0,Diabetes (especially type 2) is a well-established risk factor for dementia and the triple is well formed.,
neurofilament_light_chain,predicts,dementia,0.7671632379293443,span,background,5,5,5,1.0,"Neurofilament light chain (NfL) is a well-supported biomarker that can predict neurodegeneration and risk of dementia, and the triple is clear and well-formed.",
epilepsy,treated_by,antiepileptic_drugs,0.7647728979587556,span,discussion,5,5,5,1.0,Antiepileptic drugs are standard treatments for epilepsy and this triple is accurate and well-formed.,
hypertension,risk_factor_of,dementia,0.7642426699399949,span,introduction,5,5,5,1.0,Hypertension is a well-supported risk factor for dementia and the triple is clear and appropriate.,
hypertension,risk_factor_of,dementia,0.7622925251722337,span,introduction,5,5,5,1.0,Hypertension is a widely recognized risk factor for dementia and the triple is clear and well-formed.,
hypertension,risk_factor_of,dementia,0.7601583361625672,span,2.1 dataset,5,5,5,1.0,"Midlife hypertension is a strong, well-known risk factor for later dementia, so the triple is correct and well-formed.",
physical_inactivity,risk_factor_of,dementia,0.7595340967178346,span,background,5,5,5,1.0,Physical inactivity is a well-established modifiable risk factor for dementia.,
cortical_thickness,measured_by,magnetic_resonance_imaging,0.759332749247551,span,2.2 cognitive tests and other predictors of future dementia,5,5,5,1.0,"Cortical thickness is routinely measured using MRI, so the triple is accurate, relevant, and well-formed.",
obesity,risk_factor_of,dementia,0.7579194962978364,span,introduction,5,5,5,1.0,Obesity is a well-recognized risk factor for dementia and the triple is clearly formed.,
cortex,part_of,brain,0.7561682373285294,span,2.3.isolationofhypothalamic tanycytes using fluorescenceactivated cell sorting,5,5,5,1.0,"The cortex is correctly and clearly a part of the brain, making this a high-quality triple.",
hypertension,risk_factor_of,dementia,0.7557532995939256,span,background,5,5,5,1.0,Midlife hypertension is a recognized risk factor for later dementia.,
neurofilament_light_chain,predicts,risk_of_dementia,0.7551192224025727,span,background,5,5,5,1.0,"Neurofilament light chain (NfL) in peripheral samples is a strong predictor of neurodegeneration and future dementia risk, making this a correct and well-formed triple.",
traumatic_brain_injury,risk_factor_of,dementia,0.7531031876802445,span,background,5,5,5,1.0,Traumatic brain injury is associated with an increased risk of subsequent dementia.,
cognitive_function,measured_by,immediate_recall,0.7529559791088105,span,cognitive function,5,5,5,1.0,Immediate recall is a standard cognitive test and plausibly measures overall cognitive function.,
hippocampus,associated_with,age-related_cognitive_decline,0.7528480201959611,span,gray matter volume,5,5,5,1.0,"The hippocampus is strongly associated with age-related cognitive decline (atrophy and memory loss), making this a accurate, relevant, and well-formed triple.",
older_age,risk_factor_of,cognitive_impairment,0.7521885961294175,span,4. discussion,5,5,5,1.0,Older age is a well-established risk factor for cognitive impairment and the triple is clear and informative.,
smoking,risk_factor_of,dementia,0.7509198248386384,span,introduction,5,5,5,1.0,Smoking is an established risk factor for dementia and the triple is well-formed.,
excessive_alcohol_consumption,risk_factor_of,dementia,0.7492842584848405,span,paf trajectory in china,5,5,5,1.0,"Excessive alcohol use is associated with increased dementia risk generally, making the triple correct and relevant.",
hypertension,risk_factor_of,dementia,0.7475256681442262,span,introduction,5,5,5,1.0,Hypertension is an established risk factor for dementia and the triple is well-structured.,
education,risk_factor_of,mortality,0.7474246829748155,span,statistical analyses,5,5,5,1.0,Education level is a recognized social determinant associated with mortality risk and the triple is well structured.,
gfap,predicts,risk_of_dementia,0.747373852133751,span,background,5,5,5,1.0,"GFAP is a biomarker that can predict the risk of dementia, so the 'predicts' relation is appropriate and accurate.",
dorsolateral_portions_of_the_prefrontal_cortex,part_of,prefrontal_cortex,0.7451424777507782,span,introduction,5,5,5,1.0,Dorsolateral portions are correctly a part of the prefrontal cortex and the triple is precise and well-formed.,
daytime_sleepiness,measured_by,epworth_sleepiness_scale,0.7445336639881135,span,daytime sleepiness.,5,5,5,1.0,Daytime sleepiness is accurately and precisely measured by the Epworth Sleepiness Scale.,
low_literacy,risk_factor_of,cognitive_impairment,0.7433267116546631,span,3.3. multivariate analysis,5,5,5,1.0,Low literacy (low cognitive reserve) is a meaningful risk factor for cognitive impairment and the triple is well-formed.,
white_matter,part_of,brain,0.7433094590902329,span,discussion,5,5,5,1.0,"White matter being part of the brain is a clear, correct, and well-formed anatomical relation.",
dementia,affects,cognitive_function,0.7429617106914521,span,introduction,5,5,5,1.0,"Dementia affecting cognitive function is a well-established, specific, and properly structured relation.",
presence_of_comorbidities,risk_factor_of,depression,0.7396557062864304,span,statistical analysis,5,5,5,1.0,Presence of comorbidities plausibly increases risk of depression and the triple is clear and well-formed.,
depression,risk_factor_of,dementia,0.738041377067566,span,introduction,5,5,5,1.0,"Depression is a recognized risk factor for dementia and the triple has a clear, appropriate structure.",
dlb,affects,executive_function,0.7373702436685563,span,4 discussion,5,5,5,1.0,"DLB commonly impairs executive function, so this is factually plausible and well-formed.",
age,risk_factor_of,hypertension,0.7369905769824983,span,data collection,5,5,5,1.0,Age is a clear and strong risk factor for hypertension.,
cortical_thickness,measured_by,mri,0.7367757737636567,span,2.2 cognitive tests and other predictors of future dementia,5,5,5,1.0,Using the abbreviation 'mri' is acceptable; MRI is the standard modality to measure cortical thickness.,
race,risk_factor_of,mortality,0.7360069662332536,span,statistical analyses,5,5,5,1.0,Race is plausibly associated with mortality differences and the triple is well formed and informative.,
smoking,risk_factor_of,dementia,0.7359311044216157,span,introduction,5,5,5,1.0,"Smoking increases dementia risk in many studies, so this claim is factually strong and properly structured.",
gfap,predicts,dementia,0.7356739252805711,span,background,5,5,5,1.0,GFAP predicting dementia is a well-supported and well-formed claim reflecting biomarker-outcome association evidence.,
elderly_age,risk_factor_of,cognitive_impairment,0.73538898229599,span,an observational study,5,5,5,1.0,Advanced/elderly age is a well-established risk factor for cognitive impairment and fits the schema.,
malnutrition,affects,children,0.7350609958171845,span,obesity,5,5,5,1.0,"Malnutrition frequently affects children and this is a clear, important, and well-formed statement.",
sex,risk_factor_of,mortality,0.7349458843469621,span,statistical analyses,5,5,5,1.0,"Sex/gender is a well established demographic factor associated with mortality, and the triple is clear and relevant.",
excessive_alcohol_use,risk_factor_of,dementia,0.7349277794361115,span,by sex and age groups,5,5,5,1.0,"Excessive alcohol use (chronic heavy drinking) is a recognized risk factor for dementia, making the triple correct and well-formed.",
episodic_memory,measured_by,rey_auditory_verbal_learning_test,0.7346255838871003,span,outcome variables,5,5,5,1.0,"The RAVLT is a standard test of verbal episodic memory, so this is accurate, specific, and well-structured.",
age,risk_factor_of,dementia,0.7332083493471147,span,1 background,5,5,5,1.0,Advanced age is a well-established risk factor for dementia and the triple is correctly formed.,
sleep_disturbance,risk_factor_of,cognitive_impairment,0.7329123228788377,span,3.3. multivariate analysis,5,5,5,1.0,"Sleep disturbance is a well-established, specific risk factor for cognitive impairment and the triple is well formed.",
hypertension,risk_factor_of,dementia,0.7321336328983308,span,model building and covariate selection,5,5,5,1.0,"Hypertension is a well-established risk factor for dementia, making this a correct, relevant, and well-formed triple.",
diabetes_mellitus,risk_factor_of,dementia,0.7308449655771256,span,introduction,5,5,5,1.0,Diabetes mellitus is a well-established risk factor for cognitive decline and dementia and the triple is appropriate.,
low_educational_status,risk_factor_of,cognitive_impairment,0.7291653633117676,span,an observational study,5,5,5,1.0,Low educational status is a recognized risk factor for cognitive impairment and is well structured.,
age,risk_factor_of,comorbidities,0.7290926784276963,span,data collection,5,5,5,1.0,Increasing age is a well-established risk factor for having multiple comorbidities.,
diabetes,risk_factor_of,dementia,0.728472998738289,span,introduction,5,5,5,1.0,Well‑formed and accurate epidemiological relation: diabetes is a recognized risk factor for dementia.,
physical_inactivity,risk_factor_of,dementia,0.7280033439397813,span,introduction,5,5,5,1.0,Physical inactivity is a recognized modifiable risk factor for dementia and the triple is well-formed.,
nfl,predicts,risk_of_dementia,0.7274808019399643,span,background,5,5,5,1.0,"NfL predicting future risk of dementia is a plausible, informative biomarker→outcome claim and fits the schema.",
smoking,risk_factor_of,dementia,0.7272437870502473,span,model building and covariate selection,5,5,5,1.0,"Smoking is a known risk factor for cognitive decline and dementia, so this is accurate, relevant, and well-formed.",
bmi,risk_factor_of,osa,0.7257241368293763,span,assessment of known or suspected osa,5,5,5,1.0,Higher BMI is a well-established risk factor for OSA and the triple is clear and well-formed.,
nfl,predicts,dementia,0.7231464445590974,span,background,5,5,5,1.0,"This is equivalent to (1) using the common abbreviation 'nfl' and is a factually supported, well-formed biomarker→disease predictive relation.",
son,causes,zttk,0.7209002256393433,span,gene network perturbation of aud markers in advanced ad,5,5,5,1.0,"Haploinsufficiency of the SON gene causes ZTTK syndrome, so this is a correct, relevant, and well-formed gene→disease triple.",
tbi,risk_factor_of,dementia,0.7207409501075746,span,introduction,5,5,5,1.0,Traumatic brain injury (tbi) is an established risk factor for later-life dementia and the triple is well-formed.,
insulin_resistance,measured_by,triglyceride_glucose_index,0.7199278801679612,span,results,5,5,5,1.0,The triglyceride–glucose (TyG) index is a validated surrogate biomarker used to assess insulin resistance.,
brain_sections,treated_by,rabbit_polyclonal_anti-gfp_antibody,0.718099370598793,span,2.15.immunohistochemistry and analysis,5,5,5,1.0,"Brain sections are commonly incubated with rabbit polyclonal anti-GFP antibody for immunostaining, so the claim is accurate, specific, and well-formed.",
peripheral_glial_fibrillary_acidic_protein,predicts,dementia,0.7174406677484513,span,background,5,5,5,1.0,"Peripheral GFAP levels have been associated with future dementia and cognitive decline, so predicting dementia is a plausible, high-quality claim.",
alzheimer_s_disease,causes,memory_loss,0.7173877388238907,span,introduction,5,5,5,1.0,"Alzheimer_s_disease causes memory_loss is accurate, relevant, and well-structured.",
sarcopenia,occurs_in,older_people,0.7160296946763993,span,demographic and clinical data,5,5,5,1.0,"Sarcopenia is a condition that commonly occurs in older people, making this a clear, accurate, and well‑formed triple.",
hypertension,risk_factor_of,dementia,0.7146097779273988,span,introduction,5,5,5,1.0,Hypertension is a well-established risk factor for dementia and the triple is precise and well-formed.,
cognitive_function,measured_by,late_recall,0.7125886857509613,span,cognitive function,5,5,5,1.0,Late (delayed) recall is a well-established memory test used to assess cognitive function.,
less_education,risk_factor_of,dementia,0.7124149233102799,span,introduction,5,5,5,1.0,Lower education (or less education) is a well-established risk factor for dementia and the triple is clear and well-formed.,
dlb,affects,behavior,0.7123390197753907,span,4 discussion,5,5,5,1.0,"Behavioral symptoms are well recognized in DLB, making this accurate and well-formed.",
peripheral_glial_fibrillary_acidic_protein,predicts,risk_of_dementia,0.7111986726522446,span,background,5,5,5,1.0,"Peripheral GFAP (glial fibrillary acidic protein) has been reported to predict future dementia risk, making this a specific, plausible, and well-formed claim.",
supervised_aerobic_training,improves,executive_function,0.7110487401485444,span,cognitive function,5,5,5,1.0,"Supervised aerobic training has strong evidence for improving executive function, making this a high-quality triple.",
diabetes_mellitus,risk_factor_of,cognitive_impairment,0.7103625446558,span,4. discussion,5,5,5,1.0,Diabetes mellitus is a recognized risk factor for cognitive impairment and the triple is accurate and well formed.,
dementia,affects,ability_to_perform_activities_of_daily_living,0.710271167755127,span,introduction,5,5,5,1.0,"Dementia impairing ability to perform activities of daily living is accurate, important, and well-formed.",
depression,risk_factor_of,dementia,0.7085022985935212,span,2.1 dataset,5,5,5,1.0,"Depression, particularly midlife or recurrent depression, is a well-supported risk factor for later dementia.",
smoking,associated_with,cardiovascular_diseases,0.7083128452301026,span,4. discussion,5,5,5,1.0,Smoking is a well-established risk factor associated with cardiovascular diseases and the triple is precise and well-formed.,
alzheimer’s_disease,causes,dementia,0.7057207107543946,span,keywords,5,5,5,1.0,"Alzheimer’s disease causing dementia is a well-established, accurate, relevant, and well-formed statement.",
social_isolation,risk_factor_of,dementia,0.7043221652507783,span,paf trajectory in england,5,5,5,1.0,"Social isolation has been linked to increased dementia risk, making this a plausible and meaningful risk-factor relation.",
diabetes,risk_factor_of,dementia,0.7042328476905824,span,2.1 dataset,5,5,5,1.0,"Diabetes is a well-established risk factor for dementia, making this a correct, relevant, and well-formed triple.",
dementia,affects,older_adults,0.7040353477001191,span,introduction,5,5,5,1.0,"Dementia (disease) commonly affects older adults (demographic), so this is a correct, relevant, and well-formed statement.",
race,risk_factor_of,hypertension,0.7031856238842011,span,statistical analyses,5,5,5,1.0,Race/ethnicity is associated with hypertension risk in many populations and the triple is well formed.,
alcohol_abuse,risk_factor_of,dementia,0.701410984992981,span,introduction,5,5,5,1.0,Alcohol abuse is a well-established risk factor for dementia and the triple is clear and well-formed.,
potentially_modifiable_risk_factors,risk_factor_of,dementia,0.6993442505598069,span,evidence before this study,5,5,5,1.0,Clear and accurate: potentially modifiable risk factors are established risk factors for dementia.,
sarcopenia,affects,muscle_mass,0.6992037057876588,span,introduction,5,5,5,1.0,"Sarcopenia characteristically affects muscle mass, which is a precise, correct, and well-formed biomedical relation.",
less_education,risk_factor_of,dementia,0.6983651548624039,span,introduction,5,5,5,1.0,"Less education is a well‑established risk factor for dementia, making this correct, relevant, and well‑formed.",
osa,worsens,quality_of_life,0.6978443622589112,span,discussion,5,5,5,1.0,"OSA worsening quality of life is a well-supported, meaningful statement.",
alcohol_consumption,risk_factor_of,cognitive_impairment,0.6963704437017442,span,3.2. univariate analysis,5,5,5,1.0,Excessive alcohol consumption is a recognized risk factor for cognitive impairment and the triple is well-formed.,
alcohol_use_disorders,risk_factor_of,dementia,0.6952576398849488,span,introduction,5,5,5,1.0,Alcohol use disorders are a well-established and well-formed risk factor for dementia.,
dementia_prevention_strategies,prevents,dementia,0.6950831592082978,span,implications of all the available evidence,5,5,5,1.0,Correct and well-formed: dementia prevention strategies are intended to prevent dementia.,
cognitive_function,measured_by,neuropsychological_test_battery,0.6949395716190339,span,2.3 neuropsychological evaluation,5,5,5,1.0,"Cognitive function is commonly assessed using a neuropsychological test battery, so this is accurate, relevant, and well formed.",
diabetes,risk_factor_of,dementia,0.694551369547844,span,introduction,5,5,5,1.0,Diabetes is a well-recognized risk factor for dementia and the triple is factual and well-structured.,
excessive_alcohol_consumption,risk_factor_of,new-onset_dementia,0.6939260989427567,span,paf trajectory in china,5,5,5,1.0,"Excessive alcohol consumption is a recognized risk factor for new-onset dementia, so this is accurate and well-formed.",
tau,measured_by,pet_scans,0.6936090201139451,span,study participants,5,5,5,1.0,"Tau is measured by PET scans (tau PET), a correct, relevant, and well-formed triple.",
bmi,risk_factor_of,mortality,0.6926653295755387,span,statistical analyses,5,5,5,1.0,BMI is a known risk factor for mortality in many contexts and the triple is clear and relevant.,
diabetes,risk_factor_of,dementia,0.6924241989850999,span,by sex and age groups,5,5,5,1.0,"Diabetes is a known risk factor for dementia, so this is a correct, relevant, and well-formed triple.",
dmrs,associated_with,alzheimer_s_disease,0.6893315613269806,span,association of icrs with alzheimer’s disease,5,5,5,1.0,"Differentially methylated regions (DMRs) being associated with Alzheimer's disease is a plausible, informative, and well‑formed relation.",
hypertension,risk_factor_of,cognitive_impairment,0.6891666561365128,span,an observational study,5,5,5,1.0,Hypertension is a well-established risk factor for cognitive impairment and fits the schema.,
cardiovascular_diseases,affects,cognitive_aging,0.6888210088014604,span,4 | discussion,5,5,5,1.0,Cardiovascular disease influencing cognitive aging is well supported and the triple is clear and well structured.,
mci,leads_to,dementia,0.6886002182960511,span,introduction,5,5,5,1.0,"MCI can progress to dementia, so this is a correct, relevant, and well-formed statement.",
aerobic_exercise_interventions,improves,fluid_cognitive_performance,0.6880495101213455,span,summary and recommendation,5,5,5,1.0,"Aerobic exercise interventions are a treatment and improving fluid cognitive performance (an outcome) is a clear, plausible relation.",
diabetes,risk_factor_of,dementia,0.6875537097454072,span,introduction,5,5,5,1.0,"Diabetes is a recognized risk factor for dementia and the triple is accurate, informative, and well-formed.",
education,risk_factor_of,hypertension,0.686456060409546,span,statistical analyses,5,5,5,1.0,Education (socioeconomic status) is plausibly linked to hypertension risk and the triple is clear and meaningful.,
heavy_drinking,risk_factor_of,dementia,0.6863453745841981,span,introduction,5,5,5,1.0,Heavy drinking is a well-established risk factor for dementia and the triple is clear and informative.,
crf,associated_with,executive_function,0.6857016444206239,span,archives of rehabilitation research and clinical translation,5,5,5,1.0,"Cardiorespiratory fitness is well-documented to be associated with executive function, making this accurate and well-formed.",
risk_factors,risk_factor_of,dementia,0.6853586792945863,span,introduction,5,5,5,1.0,"The assertion that risk factors are risk factors for dementia is accurate, relevant, and well-formed.",
hypertension,risk_factor_of,dementia,0.6849225968122483,span,by sex and age groups,5,5,5,1.0,"Hypertension is an established risk factor for dementia, so this triple is accurate, relevant, and well-formed.",
blood_pressure,risk_factor_of,dementia,0.6845507979393006,span,discussion,5,5,5,1.0,Elevated blood pressure (especially midlife hypertension) is a well-established risk factor for dementia.,
cognitive_decline,leads_to,dementia,0.6824855864048005,span,abstract,5,5,5,1.0,"Cognitive decline is a well-established precursor that can lead to dementia, so this is correct and well-formed.",
stroke,risk_factor_of,dementia,0.6818563848733903,span,2.1 dataset,5,5,5,1.0,"Stroke is a well-established risk factor for subsequent dementia, so this is accurate, relevant, and well-formed.",
family_history,risk_factor_of,alzheimer_s_disease,0.6804685175418854,span,1 background,5,5,5,1.0,Family history is a recognized risk factor for Alzheimer's disease and the triple is clear and well formed.,
hypertension,risk_factor_of,dementia,0.6798619836568833,span,paf trajectory in england,5,5,5,1.0,"Hypertension is a well-established risk factor for dementia, so the triple is factual, informative, and well-formed.",
old_age,risk_factor_of,dementia,0.679538330435753,span,introduction,5,5,5,1.0,Old age is a well-established demographic risk factor for dementia and the triple is well formed.,
cognitive_status,measured_by,cognitive_tests,0.6784520357847215,span,discussion,5,5,5,1.0,"Cognitive status is appropriately measured by cognitive tests, making this a correct, relevant, and well-formed triple.",
caide_score,predicts,incident_dementia,0.6782709360122681,span,discussion,5,5,5,1.0,Clear and accurate: CAIDE score predicts incident dementia risk.,
dlb,affects,visuospatial_function,0.6781905174255372,span,4 discussion,5,5,5,1.0,"Visuospatial dysfunction is a core feature of DLB, so this is correct and well-structured.",
executive_functions,measured_by,five_digit_test,0.6779943138360978,span,procedures for the five digit test,5,5,5,1.0,The Five‑Digit Test assesses executive functions such as inhibition and flexibility.,
hypertension,risk_factor_of,alzheimer_s_disease,0.6769031465053559,span,introduction,5,5,5,1.0,Hypertension (especially midlife) is an established risk factor for Alzheimer's disease and this triple is well formed.,
advanced_age,risk_factor_of,alzheimer_s_disease,0.6767883926630021,span,introduction,5,5,5,1.0,Advanced age is a well-established and highly relevant risk factor for Alzheimer disease and the triple is well formed.,
exercise,improves,cognitive_function,0.6762266516685487,span,results,5,5,5,1.0,"There is strong evidence that exercise can improve cognitive function, and the triple is semantically clear and well-formed.",
diabetes_mellitus,risk_factor_of,dementia,0.6749209970235825,span,background,5,5,5,1.0,"Type 2 diabetes mellitus is a well-established risk factor for dementia, and the triple is precise and well-formed.",
physical_inactivity,risk_factor_of,dementia,0.6742600113153459,span,discussion,5,5,5,1.0,Physical inactivity is a well-established modifiable risk factor for dementia and the triple is well-formed.,
cardiovascular_diseases,risk_factor_of,alzheimer_s_disease,0.67413689494133,span,introduction,5,5,5,1.0,Cardiovascular diseases are known risk factors for Alzheimer disease and the triple is precise and relevant.,
alzheimer’s_disease,leads_to,dementia,0.6737457841634751,span,introduction,5,5,5,1.0,"Stating Alzheimer’s disease leads to dementia is accurate, informative, and properly structured.",
prevention_strategies,prevents,dementia,0.6735686272382737,span,implications of all the available evidence,5,5,5,1.0,"Same as above, prevention strategies plausibly prevent dementia and the triple is clear.",
hearing_loss,associated_with,dementia,0.6730964690446855,span,discussion,5,5,5,1.0,"Hearing loss is well documented to be associated with increased risk of dementia, making this a highly relevant, correct, and well-formed triple.",
migraine_without_aura,part_of,migraine,0.6725624412298203,span,introduction,5,5,5,1.0,"Migraine without aura is a recognized subtype of migraine, making this accurate and well-formed.",
current_smoking,risk_factor_of,mortality,0.6716265708208085,span,statistical analyses,5,5,5,1.0,"Current smoking is a strong, well established risk factor for mortality and the triple is well formed.",
age,risk_factor_of,alzheimer_s_disease,0.6713904470205307,span,1 background,5,5,5,1.0,Age is a well-established risk factor for Alzheimer's disease and the triple matches the schema well.,
diabetes,risk_factor_of,alzheimer_s_disease,0.6710108697414399,span,introduction,5,5,5,1.0,"Type 2 diabetes is associated with increased risk of Alzheimer's disease, making this a plausible and well-formed triple.",
physical_inactivity,risk_factor_of,dementia,0.6698903352022172,span,paf trajectory in england,5,5,5,1.0,Physical inactivity is a known modifiable risk factor for dementia and the relation is well-formed and informative.,
physical_activity,measured_by,metabolic_equivalent_of_task,0.6693456232547761,span,the construction of healthy lifestyle scores,5,5,5,1.0,"Physical activity is commonly quantified using metabolic equivalent of task (MET), and the triple is well formed and informative.",
a_β,measured_by,pet,0.6685161024332047,span,study participants,5,5,5,1.0,Stating Aβ is measured by PET (modality) is accurate and well structured.,
depression,affects,cognitive_functions,0.6677032619714738,span,abstract,5,5,5,1.0,"Clear, well-formed, and supported statement that depression affects cognitive functions.",
obesity,risk_factor_of,alzheimer_s_disease,0.6676265478134156,span,introduction,5,5,5,1.0,"Obesity (particularly midlife obesity) is plausibly and empirically linked to higher Alzheimer disease risk, making this a correct, relevant, and well-formed triple.",
traumatic_brain_injury,risk_factor_of,dementia,0.666287860274315,span,evidence before this study,5,5,5,1.0,"Traumatic brain injury is a recognized risk factor for later dementia, so this triple is accurate and well-formed.",
genetics,risk_factor_of,alzheimer_s_disease,0.6653080463409424,span,1 background,5,5,5,1.0,"Genetic factors (e.g., APOE variants) are established risk factors for Alzheimer's disease and the triple is well structured.",
familial_history,risk_factor_of,alzheimer_s_disease,0.665116935968399,span,introduction,5,5,5,1.0,A family history of dementia/genetic predisposition is a known risk factor for Alzheimer disease and the triple is precise and well formed.,
diabetes,risk_factor_of,alzheimer_s_disease,0.6645997643470765,span,keywords,5,5,5,1.0,"Type 2 diabetes is a well-established risk factor for Alzheimer’s disease, making this a correct, relevant, and well-formed triple.",
age,risk_factor_of,alzheimer_s_disease,0.6635835647583008,span,introduction,5,5,5,1.0,Increasing age is a well-established risk factor for Alzheimer's disease and the triple is well formed.,
smoking,risk_factor_of,dementia,0.6625320076942445,span,paf trajectory in england,5,5,5,1.0,"Smoking is associated with increased dementia risk, so this is a correct, relevant, and well-formed triple.",
cardiovascular_diseases,affects,cognitive_aging_trajectories,0.662071380019188,span,4 | discussion,5,5,5,1.0,"Cardiovascular diseases are well established to affect cognitive aging trajectories, making this a accurate, relevant, and well-formed statement.",
high_blood_pressure,risk_factor_of,dementia,0.6613374859094621,span,discussion,5,5,5,1.0,"High blood pressure is a well-established risk factor for dementia, so this triple is accurate and well-formed.",
educational_level,risk_factor_of,dementia,0.6605593770742417,span,statistical analysis,5,5,5,1.0,Educational level (usually lower education) is a well‑documented risk factor for dementia and the triple is well formed.,
executive_functioning,measured_by,tmt,0.6605538785457612,span,outcome variables,5,5,5,1.0,"TMT, particularly TMT‑B, is commonly used to assess aspects of executive functioning, so the triple is accurate and well‑formed.",
early_alzheimer_disease,treated_by,antiamyloid_monoclonal_antibodies,0.6602586954832077,span,cognitive function,5,5,5,1.0,"Antiamyloid monoclonal antibodies are used to treat early Alzheimer's disease, so this is a factually plausible and relevant treatment relation.",
history_of_head_trauma,risk_factor_of,alzheimer_s_disease,0.6601178795099258,span,introduction,5,5,5,1.0,A history of head trauma is a recognized risk factor for Alzheimer disease and the triple is clear and informative.,
excessive_alcohol_consumption,risk_factor_of,dementia,0.6591892153024674,span,paf trajectory in england,5,5,5,1.0,"Excessive alcohol consumption increases dementia risk, making this a factual and well-structured relation.",
cvd,risk_factor_of,dementia,0.6580022037029267,span,introduction,5,5,5,1.0,Cardiovascular disease is a well-established risk factor for dementia and the triple is precise and well-formed.,
age,risk_factor_of,diabetes,0.6572454631328584,span,statistical analysis,5,5,5,1.0,Age is a recognized risk factor for type 2 diabetes and the triple is accurate and well‑formed.,
crf,associated_with,episodic_memory,0.656784749031067,span,archives of rehabilitation research and clinical translation,5,5,5,1.0,"CRF is plausibly associated with episodic memory in the literature, so this is accurate and informative.",
alzheimer_s_disease,causes,dementia,0.6565027117729187,span,keywords,5,5,5,1.0,"Alzheimer's disease is a leading cause of dementia, so the claim is accurate, informative, and well-formed.",
obesity,risk_factor_of,dementia,0.655629387497902,span,articles,5,5,5,1.0,"Obesity is a well-established risk factor for dementia, making this accurate, relevant, and properly structured.",
migraine_with_aura,part_of,migraine,0.6555923283100129,span,introduction,5,5,5,1.0,"Migraine with aura is a well-defined subtype of migraine, so this is correct and well-formed.",
