subject,predicate,object,confidence
diabetes_mellitus,treated_by,oral_antidiabetic_agents,1.0
serum_creatinine,measured_by,enzymatic_method,1.0
handgrip_strength,measured_by,digital_strength_dynamometer,1.0
sex,risk_factor_of,diabetes,1.0
lung,measured_by,spirometry,1.0
cardiomegaly,occurs_in,heart_failure,1.0
cardiomegaly,occurs_in,kidney_dysfunction,1.0
dementia,causes,disease_burden,1.0
healthy_ageing,occurs_in,humans,1.0
ageing,occurs_in,humans,1.0
dna_damage,occurs_in,post_mitotic_cells,1.0
dna_damage,occurs_in,neurons,1.0
damage_accumulation,occurs_in,cell_cultures,1.0
increased_vulnerability_to_oxidative_agents,occurs_in,cell_cultures,1.0
snps,occurs_in,uk_biobank,1.0
age,measured_by,self_report,1.0
sex,measured_by,self_report,1.0
education,measured_by,self_report,1.0
smoking,measured_by,self_report,1.0
alcohol_intake,measured_by,self_report,1.0
heart_problems,measured_by,self_report,1.0
snps,associated_with,cognitive_and_brain_health,1.0
snps,associated_with,brain,1.0
these_differences_in_efficiency,leads_to,dna_damage,1.0
dna_damage,occurs_in,brain_cells,1.0
a_proteins,occurs_in,brain,1.0
prolonged_sleep_duration,risk_factor_of,alzheimer_s_disease,1.0
daytime_sleepiness,measured_by,epworth_sleepiness_scale,1.0
episodic_memory,measured_by,rey_auditory_verbal_learning_test,1.0
amyloid_beta,measured_by,plasma_based_assays,1.0
proteins,occurs_in,blood,1.0
amyloid_beta,measured_by,csf,1.0
hearing_loss,leads_to,cognitive_decline,1.0
entorhinal_cortex,part_of,brain,1.0
programs,improves,social_engagement,1.0
programs,improves,awareness,1.0
goodkind_and_colleagues,describes,intervention,1.0
intervention,gives,social_support,1.0
intervention,affects,refugees,1.0
programs,improves,screening,1.0
prevention_strategies,prevents,smoking,1.0
dementia,causes,progressive_cognitive_decline,1.0
dementia,causes,cognitive_decline,1.0
dementia,affects,perceptualmotor_skills,1.0
dementia,affects,language,1.0
dementia,affects,mood,1.0
dementia,affects,ability_to_perform_activities_of_daily_living,1.0
dementia,affects,activities_of_daily_living,1.0
multiple_modifiable_risk_factors,risk_factor_of,dementia,1.0
cognitive_impairment,prevents,informed_consent,1.0
investigators,involve_in,consenting_process,1.0
initial_sample,contain,observations,1.0
observations,from,respondents,1.0
final_analytic_sample,from,respondents,1.0
observations,per,respondent,1.0
osa,occurs_in,men,1.0
osa,occurs_in,adults,1.0
dementia,occurs_in,seven_million_americans,1.0
obstructive_sleep_apnea,risk_factor_of,dementia,1.0
osa,associated_with,dementia,1.0
sex,risk_factor_of,osa,1.0
bmi,risk_factor_of,osa,1.0
osa,occurs_in,midlife,1.0
alzheimer_s_dementia_associated_biomarker_signatures,occurs_in,cerebrospinal_fluid,1.0
alzheimer_s_dementia_associated_biomarker_signatures,occurs_in,central_nervous_system,1.0
dementia_associated_biomarker_signatures,occurs_in,cerebrospinal_fluid,1.0
dementia_associated_biomarker_signatures,occurs_in,central_nervous_system,1.0
biomarker_signatures,occurs_in,cerebrospinal_fluid,1.0
biomarker_signatures,occurs_in,central_nervous_system,1.0
insufficient_sleep,risk_factor_of,osa,1.0
cerebral_white_matter_hyperintensities,part_of,cerebral_white_matter,1.0
cerebral_white_matter_hyperintensities,part_of,white_matter,1.0
deep_white_matter,part_of,cerebral_white_matter,1.0
deep_white_matter,part_of,white_matter,1.0
caps,part_of,cerebral_white_matter,1.0
caps,part_of,white_matter,1.0
affymetrix,part_of,thermo_fisher_scientific,1.0
marker,measured_by,uk_bileve_axiom_array,1.0
hood_stress,occurs_in,child,1.0
composite_risk_score,predicts,undiagnosed_cognitive_decline,1.0
composite_risk_score,predicts,cognitive_decline,1.0
risk_score,predicts,undiagnosed_cognitive_decline,1.0
risk_score,predicts,cognitive_decline,1.0
healthy_eating_index,risk_factor_of,composite_risk_score,1.0
healthy_eating_index,risk_factor_of,risk_score,1.0
race,risk_factor_of,composite_risk_score,1.0
race,risk_factor_of,risk_score,1.0
education,risk_factor_of,composite_risk_score,1.0
education,risk_factor_of,risk_score,1.0
income,risk_factor_of,composite_risk_score,1.0
income,risk_factor_of,risk_score,1.0
physical_activity,risk_factor_of,composite_risk_score,1.0
physical_activity,risk_factor_of,risk_score,1.0
diabetes,risk_factor_of,composite_risk_score,1.0
diabetes,risk_factor_of,risk_score,1.0
blood_pressure,part_of,brain_care_score,1.0
blood_sugar,part_of,brain_care_score,1.0
serum_cholesterol,part_of,brain_care_score,1.0
impaired_cognition,occurs_in,older_adults,1.0
cognition,measured_by,digit_symbol_substitution_test,1.0
cognition,measured_by,verbal_fluency,1.0
education,risk_factor_of,traumatic_brain_injury,1.0
phenotypic_information,describes,health_status,1.0
phenotypic_information,describes,lifestyles,1.0
biosamples,gives,genetic_information,1.0
variants,measured_by,array,1.0
dementia,affects,midlife,1.0
lancet_report,describes,dementia,1.0
lancet_report,describes,dementia_diagnosis,1.0
dementia,occurs_in,age_group,1.0
alzheimer_s_disease,occurs_in,midlife,1.0
familial_alzheimer_s_disease,occurs_in,midlife,1.0
subtypes_of_dementia_including_alzheimer_s_disease,part_of,dementia,1.0
frontotemporal_dementia,part_of,dementia,1.0
clinical_manifestations,measured_by,neuroimaging,1.0
performance,measured_by,inertial_sensors,1.0
cognitive_reserve,improves,performance,1.0
cognitive_reserve,improves,function,1.0
ball_balancing_test,predicts,cognitively_impaired,1.0
cognitive_status,measured_by,ravlt,1.0
ball_balancing_test,part_of,dual_task_paradigm,1.0
simple_cross_validated_classifier_model,predicts,cognitively_impaired,1.0
simple_cross_validated_classifier_model,predicts,cognitively_intact,1.0
simple_cross_validated_classifier_model,improves,accuracy,1.0
cross_validated_classifier_model,predicts,cognitively_impaired,1.0
cross_validated_classifier_model,predicts,cognitively_intact,1.0
cross_validated_classifier_model,improves,accuracy,1.0
classifier_model,predicts,cognitively_impaired,1.0
classifier_model,predicts,cognitively_intact,1.0
classifier_model,improves,accuracy,1.0
cognitive_function,measured_by,ball_balancing_test,1.0
excessive_alcohol_intake,risk_factor_of,alcohol_use_disorder,1.0
major_ad,occurs_in,middle_temporal_gyrus,1.0
alzheimer_s_disease,causes,mild_memory_loss,1.0
alcohol,affects,autophagy,1.0
alcohol,affects,cerebral_blood_flow,1.0
middle_temporal_gyrus,part_of,area_of_the_brain,1.0
middle_temporal_gyrus,part_of,brain,1.0
middle_temporal_gyrus_an_area_of_the_brain,part_of,brain,1.0
area_of_the_brain,part_of,brain,1.0
disease,affects,excitatory_neurons,1.0
transcription,occurs_in,dorsolateral_prefrontal_cortex,1.0
crh,occurs_in,cerebral_cortex,1.0
vgf,prevents,alzheimer_s_disease,1.0
neurodegeneration,affects,ribosomal_proteins,1.0
neurodegeneration,affects,translation_related_genes,1.0
neurodegeneration,occurs_in,neurons,1.0
inflammatory_responses,occurs_in,endothelial,1.0
inflammatory_responses,occurs_in,vlmc,1.0
inflammatory_responses,occurs_in,astrocytes,1.0
inflammatory_responses,occurs_in,microglia,1.0
cell_type_specific_marker_ad,occurs_in,middle_temporal_gyrus,1.0
gabaergic_inhibitory_cell_type_family_of_ad,occurs_in,middle_temporal_gyrus,1.0
son,causes,zttk,1.0
nfib,associated_with,intellectual_disability,1.0
son,associated_with,intellectual_disability,1.0
atrx,associated_with,intellectual_disability,1.0
atrx,associated_with,neurodegenerative_diseases,1.0
gfap,associated_with,intellectual_disability,1.0
sgcz,associated_with,intellectual_disability,1.0
hypertension,occurs_in,midlife,1.0
poor_diet,risk_factor_of,vascular_disease,1.0
physical_inactivity,risk_factor_of,vascular_disease,1.0
sleep_disturbances,occurs_in,older_adults,1.0
pet,measured_by,siemens_biograph_mct_pet_ct,1.0
pet,measured_by,siemens_biograph_mct,1.0
brain_age,measured_by,mri,1.0
deep_learning,predicts,brain_age,1.0
superior_frontal_gyrus,part_of,frontoposterior,1.0
precentral_gyrus,part_of,frontoposterior,1.0
middle_occipital_gyrus,part_of,frontoposterior,1.0
brain_age,measured_by,eeg,1.0
gender_equality,improves,women,1.0
previous_models,occurs_in,high_income_settings,1.0
high_order_interactions,occurs_in,brain,1.0
neurocognitive_disorders,treated_by,personalized_medicine,1.0
standardized_current_density,occurs_in,hippocampus,1.0
current_density,occurs_in,hippocampus,1.0
triplets,occurs_in,aal,1.0
triplets,occurs_in,brain_parcellation,1.0
triplets,occurs_in,fmri,1.0
hormone_modulating_therapy,measured_by,healthcare_common_procedure_coding_system,1.0
hormone_modulating_therapy_claims,measured_by,healthcare_common_procedure_coding_system,1.0
tau,occurs_in,brain_tissue,1.0
no_mild_constipation,associated_with,tau,1.0
constipation,treated_by,medication,1.0
constipation,associated_with,biomarkers,1.0
smoking,risk_factor_of,constipation,1.0
alcohol_consumption,risk_factor_of,constipation,1.0
constipation,occurs_in,elderly,1.0
use_of_laxatives,improves,constipation,1.0
laxatives,improves,constipation,1.0
bloodbased_biomarkers,helps_with,risk_evaluation,1.0
bloodbased_biomarkers,helps_with,early_identification,1.0
homa_ir,use,plasma,1.0
bont_b,occurs_in,adult_tanycytes,1.0
bont_b,occurs_in,tanycytes,1.0
metabolic_disorders,treated_by,targeted_therapies,1.0
metabolic_diseases,treated_by,therapies,1.0
median_eminence,part_of,hypothalamus,1.0
experiments,occurs_in,mice,1.0
median_eminence,part_of,brain,1.0
total_energy_expenditure,measured_by,calorimetric_cages,1.0
oxygen_consumption,measured_by,calorimetric_cages,1.0
carbon_dioxide_production,measured_by,calorimetric_cages,1.0
food_intake,measured_by,calorimetric_cages,1.0
leptin,measured_by,leptin_elisa_kit,1.0
tissues,treated_by,anti_proteases,1.0
tissues,treated_by,anti_phosphatases,1.0
fasting,occurs_in,mice,1.0
basal_blood_glucose_levels,measured_by,onetouch_verio_glucometer,1.0
blood_glucose_levels,measured_by,onetouch_verio_glucometer,1.0
homa_ir,measured_by,fasting_plasma_insulin,1.0
homa_ir,measured_by,fpi,1.0
homa_ir,measured_by,fasting_plasma_glucose,1.0
homa_ir,measured_by,fpg,1.0
mrna,measured_by,quantitative_pcr,1.0
adult_mice,treated_by,decapitation,1.0
free_floating_brain_sections,treated_by,goat_polyclonal_anti_vimentin_antibody,1.0
free_floating_brain_sections,treated_by,rabbit_polyclonal_anti_gfp_antibody,1.0
brain_sections,treated_by,goat_polyclonal_anti_vimentin_antibody,1.0
brain_sections,treated_by,rabbit_polyclonal_anti_gfp_antibody,1.0
fenestrated_capillaries,part_of,median_eminence,1.0
capillaries,part_of,median_eminence,1.0
lipolysis,occurs_in,liver,1.0
lipogenesis,occurs_in,liver,1.0
metabolic_changes,occurs_in,mouse_model,1.0
cognitive_decline,occurs_in,mice,1.0
metabolic_phenotype,occurs_in,bont_b_mice,1.0
selective_knockout_of_lepr,occurs_in,tanycytes,1.0
diet_induced_obesity,occurs_in,minipigs,1.0
diet_induced_obesity,occurs_in,mice,1.0
obesity,occurs_in,minipigs,1.0
report_from_the_american_academy_of_neurology,describes,mild_cognitive_impairment,1.0
snps,occurs_in,humans,1.0
snps,occurs_in,human_body,1.0
cortical_structure,part_of,brain,1.0
snps,associated_with,gut_microbiota,1.0
probiotics,affects,brain_functions,1.0
probiotics,affects,brain,1.0
afferent_fibers,part_of,vagus_nerve,1.0
probiotics,improves,cognitive_functions,1.0
probiotics,affects,immune_system,1.0
butyrate,occurs_in,body,1.0
lipopolysaccharides,affects,blood_brain_barrier,1.0
cognitive_functions,occurs_in,human_body,1.0
gut_microbiota,affects,brain,1.0
sdoh,occurs_in,environments,1.0
brain_health,measured_by,cognitive_testing,1.0
aerobic_exercise,improves,cardiovascular_function,1.0
aerobic_exercise,affects,brain_structure,1.0
alzheimer_disease,treated_by,pharmacological_treatment,1.0
fluid_cognitive_decline,occurs_in,young_adulthood,1.0
cognitive_decline,occurs_in,young_adulthood,1.0
supervised_aerobic_training,improves,attention,1.0
supervised_aerobic_training,improves,processing_speed,1.0
supervised_aerobic_training,improves,executive_function,1.0
aerobic_exercise,improves,fluid_cognitive_performance,1.0
mci,treated_by,monoclonal_antibodies,1.0
amyloid_protein,occurs_in,brain,1.0
aerobic_exercise,improves,mood,1.0
exercise_training,improves,sleep_quality,1.0
neurons,part_of,brain,1.0
glial_cells,part_of,brain,1.0
neuronal_soma,part_of,gray_matter,1.0
total_gray_matter_volume,measured_by,neuroimaging,1.0
hippocampus,associated_with,age_related_cognitive_decline,1.0
prefrontal_cortex,associated_with,age_related_cognitive_decline,1.0
normal_aging,affects,hippocampus,1.0
hippocampus,part_of,medial_temporal_lobe,1.0
pfc,part_of,brain,1.0
dentate_gyrus,part_of,hippocampus,1.0
shrinkage,occurs_in,control_group,1.0
exercise_intervention,occurs_in,adults,1.0
exercise_intervention,affects,left_lateral_occipital_cortex,1.0
exercise_intervention,affects,left_precuneus,1.0
running,part_of,exercise_intervention,1.0
games,part_of,exercise_intervention,1.0
aerobic_exercise,improves,brain,1.0
aerobic_exercise_interventions,improves,brain,1.0
crf,prevents,stress,1.0
exercise_training,prevents,stress,1.0
genu,part_of,corpus_callosum,1.0
supervised_aerobic_training,part_of,intervention,1.0
genu_body_corpus,part_of,human_brain,1.0
aerobic_exercise,occurs_in,midlife,1.0
long_term_aerobic_training,occurs_in,midlife,1.0
aerobic_training,occurs_in,midlife,1.0
multicomponent_exercise,improves,cognition,1.0
exercise,improves,cognition,1.0
exercising_outdoors,occurs_in,natural_settings,1.0
exercising,occurs_in,natural_settings,1.0
aorta,part_of,central_arteries,1.0
carotid_arteries,part_of,central_arteries,1.0
lifestyle_interventions,improves,cbf,1.0
chronic_exposure_to_increased_systolic_pressure,occurs_in,older_adults,1.0
chronic_exposure,occurs_in,older_adults,1.0
increased_systolic_pressure,occurs_in,older_adults,1.0
aortic_stiffening,occurs_in,older_adults,1.0
aerobic_exercise_training,causes,cbf,1.0
aerobic_exercise_training,occurs_in,older_adults,1.0
anterior_cingulate,measured_by,arterial_spin_labeling_mri,1.0
obesity,risk_factor_of,dementia_and_or_alzheimer_s_disease,1.0
high_cholesterol,risk_factor_of,dementia_and_or_alzheimer_s_disease,1.0
high_cholesterol,risk_factor_of,alzheimer_s_disease,1.0
hypertension,risk_factor_of,dementia_and_or_alzheimer_s_disease,1.0
depression,affects,men,1.0
alzheimer_s_disease,affects,cognitive_domains,1.0
alzheimer_s_disease,affects,social_cognition,1.0
alzheimer_s_disease,worsens,cognitive_performance,1.0
related_dementias,causes,decline,1.0
related_dementias,affects,cognitive_domains,1.0
alzheimer_s_disease_related_dementias,causes,decline,1.0
alzheimer_s_disease_related_dementias,affects,cognitive_domains,1.0
alzheimer_s_disease_related_dementias,affects,social_cognition,1.0
alzheimer_s_disease_related_dementias,leads_to,significant_impairment_in_cognitive_performance,1.0
alzheimer_s_disease_related_dementias,worsens,cognitive_performance,1.0
alzheimer_s_disease,affects,complex_attention,1.0
alzheimer_s_disease,affects,executive_function,1.0
alzheimer_s_disease,affects,learning_and_memory,1.0
alzheimer_s_disease,affects,language,1.0
alzheimer_s_disease,leads_to,significant_impairment,1.0
alzheimer_s_disease,leads_to,significant_impairment_in_cognitive_performance,1.0
dementia,causes,impaired_ability,1.0
dementia,affects,ability,1.0
dementia,affects,remember,1.0
dementia,affects,think,1.0
dementia,affects,make_decisions,1.0
dementia,affects,decisions,1.0
diabetes,risk_factor_of,alzheimer_s_disease_related_dementias,1.0
hypertension,risk_factor_of,alzheimer_s_disease_related_dementias,1.0
obesity,risk_factor_of,alzheimer_s_disease_related_dementias,1.0
traumatic_brain_injury,risk_factor_of,alzheimer_s_disease,1.0
traumatic_brain_injury,risk_factor_of,alzheimer_s_disease_related_dementias,1.0
alcohol_misuse,risk_factor_of,alzheimer_s_disease,1.0
alcohol_misuse,risk_factor_of,alzheimer_s_disease_related_dementias,1.0
use_of_commercial_tobacco_products,risk_factor_of,alzheimer_s_disease,1.0
use_of_commercial_tobacco_products,risk_factor_of,alzheimer_s_disease_related_dementias,1.0
depression,risk_factor_of,alzheimer_s_disease_related_dementias,1.0
physical_inactivity,risk_factor_of,alzheimer_s_disease_related_dementias,1.0
social_isolation,risk_factor_of,alzheimer_s_disease_related_dementias,1.0
air_pollution,risk_factor_of,alzheimer_s_disease,1.0
air_pollution,risk_factor_of,alzheimer_s_disease_related_dementias,1.0
health_care,occurs_in,rural,1.0
alzheimer_s_disease,measured_by,crude_and_adjusted_rate,1.0
educational_attainment,risk_factor_of,atrial_fibrillation,1.0
ever_smoked,risk_factor_of,atrial_fibrillation,1.0
fresh_fruit_intake,risk_factor_of,atrial_fibrillation,1.0
genetic_variant,associated_with,exposure,1.0
severe_traumatic_brain_injury,risk_factor_of,risk_of_developing_ad,1.0
severe_traumatic_brain_injury,risk_factor_of,developing_ad,1.0
depression,risk_factor_of,risk_of_developing_ad,1.0
depression,risk_factor_of,developing_ad,1.0
ever_smoked,risk_factor_of,risk_of_developing_ad,1.0
ever_smoked,risk_factor_of,developing_ad,1.0
alcohol_use,risk_factor_of,risk_of_developing_ad,1.0
alcohol_use,risk_factor_of,developing_ad,1.0
hearing_loss,risk_factor_of,risk_of_developing_ad,1.0
hearing_loss,risk_factor_of,developing_ad,1.0
chronic_periodontitis,risk_factor_of,risk_of_developing_ad,1.0
chronic_periodontitis,risk_factor_of,developing_ad,1.0
sleep_apnea_syndrome,risk_factor_of,risk_of_developing_ad,1.0
sleep_apnea_syndrome,risk_factor_of,developing_ad,1.0
insomnia,risk_factor_of,risk_of_developing_ad,1.0
insomnia,risk_factor_of,developing_ad,1.0
physical_activity,risk_factor_of,developing_ad,1.0
coffee_intake,risk_factor_of,developing_ad,1.0
vegetable_intake,risk_factor_of,developing_ad,1.0
fresh_fruit_intake,risk_factor_of,developing_ad,1.0
immune_response,occurs_in,nervous_system,1.0
cognitive_decline,occurs_in,midlife,1.0
hypercholesterolemia,risk_factor_of,dementia,1.0
these_combined_efforts,improves,health_outcomes,1.0
combined_efforts,improves,health_outcomes,1.0
activities,improves,risk_factors,1.0
hypertension,treated_by,equally_high_quality_treatment,1.0
hypertension,treated_by,high_quality_treatment,1.0
obesity,treated_by,high_quality_treatment,1.0
obesity,treated_by,treatment,1.0
hypercholesterolemia,treated_by,treatment,1.0
physical_activities,measured_by,self_reported,1.0
strategies,prevents,incident_dementia,1.0
wgbs,identify,dmrs,1.0
libraries,prepare_from,extracted_dna,1.0
index_reads,assign,reads,1.0
end_sequence_file,inspect,fastqc,1.0
end_sequence_file,use,fastqc,1.0
quality_control,perform,trim,1.0
quality_control,use,trim,1.0
galore_wrapper_script,call,cutadapt,1.0
reads,align_to,reference_genome,1.0
paired_end,trim,adapter,1.0
aligned_bam_files,sort,samtools,1.0
aligned_bam_files,index,samtools,1.0
demographic_characteristics,summarize,additional_file,1.0
alzheimer_disease_samples,vs.,controls,1.0
methylation_ratio,for,cpg_dinucleotides,1.0
moabs,confirm,known_dmrs,1.0
sequence_bias,observe,alzheimer,1.0
deeptools,use,bam,1.0
deeptools,merge,bam,1.0
differentially_methylated_regions,measured_by,whole_genome_bisulfite_sequenced_dna,1.0
differentially_methylated_regions,occurs_in,brain_tissue,1.0
entorhinal_cortex,part_of,networks,1.0
elevated_rates_of_disease,occurs_in,nhb,1.0
elevated_rates_of_disease,occurs_in,hispanic,1.0
dna_methylation,occurs_in,peripheral_blood,1.0
cell_types,part_of,offspring,1.0
tissues,part_of,offspring,1.0
stem_cell,part_of,embryonic_development,1.0
brain_tissues,part_of,joseph_and_kathleen_bryan_brain_bank,1.0
brain_tissues,part_of,brain_bank,1.0
joseph_and_kathleen_bryan_brain_bank,part_of,duke_university,1.0
gray_matter,part_of,cerebral_cortex,1.0
maternal_uniparental_disomy,occurs_in,in_humans,1.0
maternal_uniparental_disomy,occurs_in,humans,1.0
uniparental_disomy,occurs_in,in_humans,1.0
uniparental_disomy,occurs_in,humans,1.0
disomy,occurs_in,humans,1.0
wnt,occurs_in,brain_tissues,1.0
wholegenome_methyl_sequencing,occurs_in,blood,1.0
methyl_sequencing,occurs_in,blood,1.0
temporal_cortex,part_of,nhb_control_tissues,1.0
cerebellum,part_of,nhb_control_tissues,1.0
nucleus_accumbens,part_of,brain,1.0
hypothalamus,part_of,brain,1.0
prefrontal_cortex,part_of,brain,1.0
dna_methylation,occurs_in,icrs,1.0
dmrs,measured_by,wgbs,1.0
methylation,occurs_in,alzheimer_s_disease_samples,1.0
icrs,occurs_in,tissue,1.0
gene,associated_with,disease,1.0
lncrnas,associated_with,brain_development,1.0
lncrnas,associated_with,genes,1.0
aging,measured_by,brain_imaging,1.0
accelerated_aging,affects,ovaries,1.0
gradient_spoiled_gradient_echo_sequence,occurs_in,sagittal_plane,1.0
gradient_echo_sequence,occurs_in,sagittal_plane,1.0
gc_dg,part_of,hippocampal_subfields,1.0
gc_dg,part_of,hippocampus,1.0
fimbria,part_of,hippocampus,1.0
subiculum,part_of,hippocampal_subfields,1.0
subiculum,part_of,hippocampus,1.0
pre_subiculum,part_of,hippocampal_subfields,1.0
pre_subiculum,part_of,hippocampal,1.0
pre_subiculum,part_of,hippocampus,1.0
para_subiculum,part_of,hippocampal_subfields,1.0
para_subiculum,part_of,hippocampal,1.0
para_subiculum,part_of,hippocampus,1.0
molecular_layer,part_of,hippocampal_subfields,1.0
molecular_layer,part_of,hippocampal,1.0
molecular_layer,part_of,hippocampus,1.0
hippocampal_tail,part_of,hippocampal_subfields,1.0
hippocampal_tail,part_of,hippocampal,1.0
hippocampal_tail,part_of,hippocampus,1.0
hippocampal_fissure,part_of,hippocampal_subfields,1.0
hippocampal_fissure,part_of,hippocampal,1.0
hippocampal_fissure,part_of,hippocampus,1.0
bmi,associated_with,hippocampal_fissures,1.0
preventive,prevents,cognitive_decline,1.0
alzheimer_s_disease,affects,african_american,1.0
apoe,risk_factor_of,alzheimer_s_disease,1.0
consenting_proxy,gives,written_informed_consent,1.0
consenting_proxy,gives,informed_consent,1.0
proxy,gives,written_informed_consent,1.0
proxy,gives,informed_consent,1.0
ancestral_backgrounds,measured_by,genome_wide_genetic_data,1.0
ancestral_backgrounds,measured_by,eigenstrat_software,1.0
ascertainment_protocols,occurs_in,sites,1.0
antidiabetic_medications,improves,cognition,1.0
antidiabetic_medications,improves,neurotransmitter_turnover,1.0
antidiabetic_medications,improves,bioenergetics,1.0
antidiabetic_medications,improves,vascular_function,1.0
antidiabetic_medications,improves,lipid_metabolism,1.0
semaglutide,improves,insulin_resistance,1.0
semaglutide,improves,alzheimer_s_disease_risk_factors,1.0
semaglutide,improves,risk_factors,1.0
alcohol_drinking,risk_factor_of,alzheimer_s_disease,1.0
macrophages,part_of,cells,1.0
