subject,predicate,object,confidence,source,correctness,relevance,well_formedness,normalized_score,rationale,error,document_id,section
try_laboratory,part_of,laboratory,0.5034835815429688,span,3,2,3,0.41666666666666663,A specific lab being part of a generic 'laboratory' is plausible but tautological and not very informative.,,41_-_jamaneurology_nguyen_ho_2024_oi_240035_1723221544_3J4hG0e,amyloid pet acquisition and processing
st_conditions,measure,percentage,0.15000000000000002,pos,2,2,1,0.16666666666666669,Saying 'st_conditions measure percentage' is unclear and does not fit expected relation types or entity roles.,,36_-_jmir-2024-1-e49794_bCxMZ5Y_23,discussion
alzheimer_signature_region,assess,brain,0.15000000000000002,pos,3,3,3,0.5,"Alzheimer signature regions can be used to assess the brain, a plausible and moderately well-formed relation though a bit generic.",,32_-_fcae213_xz1udej_19,acquisition of brain mri and image processing
age,risk_factor_of,vascular,0.6478961765766145,span,5,3,2,0.5833333333333334,"Age is a well-established risk factor for vascular disease, but the object 'vascular' is ambiguous and not a defined disease entity.",,32_-_fcae213_xz1udej_19,measurement of vascular risk factors
significant_associations,within,cortical_thickness,0.2,prep,4,3,3,0.5833333333333334,Significant associations within cortical thickness is a plausible observation but the subject is a result label rather than a clear entity.,,115_-_fcae083_5XqFIZJ_67,statistical analysis
dementia,compare,non_-_hispanic_white,0.15000000000000002,pos,2,2,1,0.16666666666666669,'Dementia compare non_-_hispanic_white' is an incomplete comparative phrase and poorly formed as a triple.,,57_-_wei-et-al-2024-modifiable-and-non-modifiable-risk-factors-for-dementia-am_OCoG51B_38,keywords
risk_factors,risk_factor_of,risk_factors_for_dementia,0.43299910724163054,span,1,1,1,0.0,This is circular and nonsensical: generic 'risk_factors' cannot sensibly be a risk factor of 'risk_factors_for_dementia'.,,89_-_Monitoring_risk_factors_for_dementia_in_middle-aged_and_older_adults___a__mYybTq0_57,methods
training_sets,use,stratified_split,0.1,pos,4,3,2,0.5,"Using a stratified split for creating training sets is plausible, but the relation phrasing and types are informal.",,43_-_s41591-024-03209-x_d9VLc4l_27,model input preprocessing
latin_american_initiative_for_lifestyle_intervention,part_of,latin_american_initiative,0.4005586802959442,span,4,3,4,0.6666666666666666,A named lifestyle initiative being part of a broader Latin American initiative is plausible and well structured.,,38_-_PIIS2214109X24002754_Abn6hqG_25,articles
degs,measured_by,snrna_seq,0.4786254495382309,span,5,4,4,0.8333333333333333,"Differentially expressed genes are commonly identified from snRNA-seq data, so this is accurate and well-formed.",,37_-_ENEURO_8cwR40c,materials and methods
mood_swings,associated_with,anxiety,0.6633356869220735,span,5,4,5,0.9166666666666667,"Mood swings are commonly associated with anxiety, making this a plausible and well-formed claim.",,122_-_s11357-024-01224-x_xovPrUB_72,discussion
cortex,part_of,central_nervous_system,0.6997323244810105,span,5,4,5,0.9166666666666667,"The cortex is a major component of the central nervous system, so this is accurate and well formed.",,116_-_s41398-024-02927-7_KXcSiyb_68,discussion
low_referral_rate,attribute_to,several_reasons,0.3,svo,3,3,2,0.41666666666666663,"A low referral rate can be attributed to several reasons (plausible), but the predicate is nonstandard and the triple is somewhat generic.",,120_-_s12877-024-05054-6_yX1OhhV_71,discussion
risk_factors,risk_factor_of,dementias,0.6958299338817597,span,2,1,2,0.16666666666666669,"As with the previous triple, 'risk_factors'→'dementias' is tautological and vague and does not form a well-specified triple.",,92_-_PIIS2666606524000452_q1YNam3_58,risk factors for alzheimer’s disease and vascular dementia
román_et_al.,describes,vascular_dementia,0.5180689424276352,span,5,4,5,0.9166666666666667,A paper (Román et al.) can validly describe vascular dementia and this is a clear study→disease relation.,,14_-_fnagi-16-1381692_Pus0J7i_8,cognitive evaluation and dementia criteria
proinflammatory_cytokines,link_to,reductions,0.35,svo,2,1,1,0.08333333333333331,"Vague and incomplete: 'link_to reductions' does not specify what is reduced, so the triple is ambiguous and of low value.",,31_-_zpae077_ruWgbRL_18,discussion
sex,adjust,ageand_adjusted_regional_rates,0.15000000000000002,pos,4,3,2,0.5,"Sex adjustment of rates is a common practice, but the target entity name and predicate formatting are nonstandard.",,55_-_J_American_Geriatrics_Society_-_2024_-_Apostolou_-_Alzheimer_s_disease_an_ebrdXpZ_36,methods
dementia,occurs_in,personyears,0.6328606486320496,span,1,1,1,0.0,"Person-years is an epidemiological time/denominator metric, not an entity in which dementia 'occurs', so the triple is ill-formed.",,116_-_s41398-024-02927-7_KXcSiyb_68,baseline characteristics
behaviors,occurs_in,youth,0.648421084880829,span,4,2,3,0.5,"Behaviors do occur in youth, which is true but very general and not especially informative.",,12_-_s12916-024-03464-2_KAy1DzV_6,interpretation
modifiable_risk_factors,risk_factor_of,dementia,0.5654848098754883,span,5,5,5,1.0,Modifiable risk factors are legitimately described as risk factors for dementia and the triple matches the schema well.,,89_-_Monitoring_risk_factors_for_dementia_in_middle-aged_and_older_adults___a__mYybTq0_57,introduction
number_of_words,part_of,alzheimer_s_diseaseas_delayed_recall_trial,0.48009006679058075,span,4,3,4,0.6666666666666666,"Number of words recalled is a plausible measured component of an Alzheimer’s delayed recall trial, so the relation is reasonable and well structured.",,73_-_Alzheimer_s___Dementia_-_2024_-_Borland_-_Individualized__crossE28090vali_hp4f1fa_49,2.2 cognitive tests and other predictors of future dementia
shared_variance,between,risk_factors,0.25,prep,4,3,2,0.5,"Shared variance between risk factors is a meaningful statistical concept, but the predicate 'between' and subject type are not well aligned with the schema.",,12_-_s12916-024-03464-2_KAy1DzV_6,calculation of population attributable fractions
clinical_tests,index,history,0.15000000000000002,pos,1,1,1,0.0,The predicate 'index' between clinical_tests and history is unclear and does not form a sensible triple.,,79_-_association-of-alcohol-consumption-with-cognition-and-functionality-in-ol_yNhYEKs_51,procedure and measures
age,affect,cognitive_tasks,0.35,svo,5,4,4,0.8333333333333333,"Age (a demographic) affecting performance on cognitive tasks is a well-supported, relevant claim though predicate form is slightly informal.",,80_-_Five_Digit_Test_in_neuropsychological_assessment_of_working_memory_in_age_oxMPmbk_52,introduction
alcohol,can_induce,brain_atrophy,0.39999999999999997,svo,5,4,4,0.8333333333333333,"Chronic heavy alcohol use can cause brain atrophy, so this is a correct and relevant claim with a clear structure.",,71_-_1-s2_JQqHHNg,articles
dementia_prevention,prevents,dementia,0.44793628454208373,span,4,3,4,0.6666666666666666,"Dementia prevention activities aim to prevent dementia, so the statement is plausible though somewhat tautological.",,11_-_PIIS2666606524001007_9MNVWIN_5,articles
related_disorders,like,behavioral_variant_frontotemporal_dementia,0.2,prep,4,3,2,0.5,"Behavioral variant frontotemporal dementia is plausibly an example of related disorders, but the subject is generic and the predicate 'like' is informal.",,43_-_s41591-024-03209-x_d9VLc4l_27,article
mendelian_randomization_method,use,gut,0.15000000000000002,pos,2,2,2,0.25,Mendelian randomization can be applied to gut-related traits but the triple is imprecise and uses an inappropriate predicate.,,47_-_xi-et-al-2024-can-early-gut-microbiota-screening-reduce-the-incidence-of-_VWRUL3S_31,overall design
sleep,associate,many_underlying_pathologies,0.15000000000000002,pos,4,3,3,0.5833333333333334,"Sleep is plausibly associated with many underlying pathologies, but the predicate is not in the canonical relation set.",,41_-_jamaneurology_nguyen_ho_2024_oi_240035_1723221544_3J4hG0e,discussion
variants,have,significant_associations,0.15000000000000002,pos,4,3,3,0.5833333333333334,"Variants having significant associations is a sensible, informative claim, though the predicate is informal rather than a canonical relation.",,25_-_genes-15-00153_coMgvEa_13,4. discussion
other_risk_factors,address,interdependence,0.1,pos,4,3,2,0.5,"Addressing interdependence among other risk factors is a sensible point, but the predicate and object are abstract and not schema-conformant.",,11_-_PIIS2666606524001007_9MNVWIN_5,articles
diabetes,associate,age,0.2,pos,4,3,4,0.6666666666666666,Diabetes is associated with age is a plausible and meaningful statement with appropriate subject and object types.,,5_-_Alzheimer_s___Dementia_-_2024_-_Xiao_-_Significance_of_plasma_ptau217_in_p_xCUnl6r_2,predicting dementia
ruminococcusgauvreauiigroup_impairment,while,class,0.25,prep,2,2,1,0.16666666666666669,"Poorly formed compound subject and unclear predicate ('while class') produce a low-quality, hard-to-interpret claim.",,47_-_xi-et-al-2024-can-early-gut-microbiota-screening-reduce-the-incidence-of-_VWRUL3S_31,results
hormone_modulating_therapy,prevents,"cognitive_conditions,_such_as_mild_cognitive_impairment",0.545064702630043,span,2,3,3,0.41666666666666663,"The triple is specific (prevention of MCI) but evidence for hormone modulation preventing MCI is unproven, and the object formatting is slightly awkward.",,44_-_cai_2024_oi_240718_1720040123_JiF8b4M,introduction
dynamic,result,underestimation,0.15000000000000002,pos,3,1,1,0.16666666666666669,Same as above: plausible in some contexts but too vague and not well‑formed as a KG triple.,,38_-_PIIS2214109X24002754_Abn6hqG_25,articles
theoretical_basis,for,prevention,0.25,prep,3,2,2,0.33333333333333337,"There can be a theoretical basis for prevention, but the statement is generic and expressed imprecisely.",,47_-_xi-et-al-2024-can-early-gut-microbiota-screening-reduce-the-incidence-of-_VWRUL3S_31,keywords
age,is_a,different,0.3,copular,1,1,1,0.0,"'Age is_a different' is nonsensical and the object is meaningless, making the triple malformed.",,36_-_jmir-2024-1-e49794_bCxMZ5Y_23,results
further_details,find_in,appendix,0.35,svo,3,2,1,0.25,Common cross‑reference (details in appendix) is plausible but not a domain relation and fails schema alignment.,,51_-_PIIS2666756824000059_wqnFMku_33,cohort descriptions
cerebral_microcirculation,part_of,neural_tissues,0.45648457407951354,span,3,3,4,0.5833333333333334,Cerebral microcirculation relates closely to neural tissue function but is vascular rather than strictly 'part of' neural tissue.,,52_-_aerobic_exercise_training_for_the_aging_brain__vLXJT2d,arterial stiffness and pulsatility
disease_clinical_manifestations,result,improved_cognitive_performance,0.1,pos,1,1,2,0.08333333333333331,"It claims disease manifestations result in improved cognition, which is implausible and contradicts expected clinical knowledge.",,60_-_jad2F20242F98-12Fjad-98-1-jad2311162Fjad-98-jad231116_GtaH9Wb_41,introduction
cumulative_ppi_use,associated_with,dementia,0.45889011323451995,span,4,5,4,0.8333333333333333,"The association of cumulative PPI use with dementia is a clear, relevant research claim and fits the schema well.",,18_-_Alzheimer_s___Dementia_-_2023_-_Pourhadi_-_Proton_pump_inhibitors_and_dem_EHvagEE_11,abstract
stroke,occurs_in,those_assigned_male,0.5699581533670426,span,4,2,4,0.5833333333333334,"Stroke can occur in males, so the triple is plausible though non-specific.",,54_-_Alzheimer_s___Dementia_-_2023_-_Brady_-_Sex_and_gender_differences_in_ris_ZePv4lX_35,3.1.2riskprofiles by sex
simple_linear_regression_analyses,conduct_for,quli,0.3,svo,2,2,1,0.16666666666666669,Running simple linear regressions for some variable is plausible but 'quli' is unclear and the triple is poorly specified.,,78_-_Episodic_memory_improvement_in_illiterate_adults_attending_late-life_educ_EZAYuo2_50,statistical analysis
low_literacy,risk_factor_of,cognitive_impairment,0.7433267116546631,span,5,5,5,1.0,Low literacy (low cognitive reserve) is a meaningful risk factor for cognitive impairment and the triple is well-formed.,,10_-_prevalence_of_cognitive_impairment_and_its_JJn2E0T,3.3. multivariate analysis
green_tea_intake,risk_factor_of,atrial_fibrillation,0.673751774430275,span,2,3,4,0.5,"Green tea intake is not known to be a risk factor for AF and may be neutral or protective, so the claim is unlikely.",,56_-_fneur-15-1401880_e8zWra6_37,data sources
important_risk_factors,for,dementia,0.25,prep,5,3,4,0.75,Stating that important risk factors are for dementia is accurate and meaningful but phrased generically.,,57_-_wei-et-al-2024-modifiable-and-non-modifiable-risk-factors-for-dementia-am_OCoG51B_38,discussion
depression,compare,males,0.2,pos,3,3,2,0.41666666666666663,"Depression prevalence differences by sex are plausible, but the triple is grammatically unclear and uses a nonstandard predicate.",,54_-_Alzheimer_s___Dementia_-_2023_-_Brady_-_Sex_and_gender_differences_in_ris_ZePv4lX_35,4.1 differences in risk by sex
depression,affects,american_indian/alaskan_native_adults,0.4827409863471985,span,4,4,5,0.8333333333333333,Depression affects American Indian/Alaska Native adults is plausible and well-formed as a disease→demographic statement.,,28_-_igae025_TAsiO8F_15,abstract
physical_inactivity,risk_factor_of,dementia,0.6018962472677232,span,5,5,5,1.0,"Physical inactivity is an established risk factor for dementia, so this is accurate, relevant, and well-formed.",,2_-_dc231524_M1uM06w_1,results
access_article,distribute,terms,0.1,pos,2,1,1,0.08333333333333331,Unclear meaning (how an 'access_article' would 'distribute terms') and does not fit the allowed entity/relation types.,,44_-_cai_2024_oi_240718_1720040123_JiF8b4M,conclusion
tau,occurs_in,brain_tissue,0.7404715925455094,span,5,4,5,0.9166666666666667,Tau (protein) occurring in brain tissue is accurate and well formed.,,44_-_cai_2024_oi_240718_1720040123_JiF8b4M,strengths and limitations
less_social_isolation,than,younger_people,0.2,prep,2,2,1,0.16666666666666669,"The comparative phrasing is unclear and likely incorrect (older people typically have more social isolation), and the triple is not well formed.",,89_-_Monitoring_risk_factors_for_dementia_in_middle-aged_and_older_adults___a__mYybTq0_57,discussion
prediction,predicts,progression,0.476911923289299,span,4,4,3,0.6666666666666666,"A prediction can plausibly predict progression, but the subject is generic rather than a specific measure.",,73_-_Alzheimer_s___Dementia_-_2024_-_Borland_-_Individualized__crossE28090vali_hp4f1fa_49,4 discussion
authors,review,drafts,0.15000000000000002,pos,4,3,2,0.5,"Authors reviewing drafts is a plausible and informative activity, but 'authors' and 'review' are not mapped cleanly to the target schema so structure is weak.",,8_-_1-s2_MUmCELt,author contributions
effective_measures,improves,brain_health,0.42355115711688995,span,4,3,4,0.6666666666666666,"Plausible and meaningful that effective measures improve brain health, though phrasing is somewhat high‑level.",,122_-_s11357-024-01224-x_xovPrUB_72,introduction
confounding,risk_factor_of,chemotherapy,0.43116975128650664,span,1,1,1,0.0,"‘Confounding’ is a methodological concept, not a risk factor for chemotherapy, so the claim is incorrect and ill-formed.",,44_-_cai_2024_oi_240718_1720040123_JiF8b4M,strengths and limitations
modifiable_risk_factor,risk_factor_of,alzheimer_disease,0.6960343152284623,span,4,2,4,0.5833333333333334,"It is true that modifiable risk factors exist for Alzheimer disease, but the triple is very generic.",,41_-_jamaneurology_nguyen_ho_2024_oi_240035_1723221544_3J4hG0e,key points
interventions,risk_factor_of,dementia_risk_reduction_interventions,0.4312183439731598,span,1,1,1,0.0,Stating 'interventions' are risk factors for other interventions is meaningless and structurally invalid.,,55_-_J_American_Geriatrics_Society_-_2024_-_Apostolou_-_Alzheimer_s_disease_an_ebrdXpZ_36,conclusion
clinician,base,based_diagnoses,0.15000000000000002,pos,2,2,2,0.25,Plausible idea (clinicians base diagnoses on information) but the predicate/object are awkward and nonstandard making the triple unclear.,,49_-_besser-et-al-2024-intersectionality-of-gender-with-social-determinants-of_kuLsWan_32,study sample
statistically_significant_association,occurs_in,men,0.44327478408813475,span,3,2,2,0.33333333333333337,"Similar to the previous, an association may be observed in men (plausible) but the subject is abstract and the triple is poorly formed.",,8_-_1-s2_MUmCELt,discussion
meta,use,inverse,0.2,pos,3,2,1,0.25,"Meta‑analyses commonly use inverse‑variance weighting, so the idea is plausible, but the object 'inverse' is underspecified and the triple is poorly formed.",,71_-_1-s2_JQqHHNg,statistics
air_conduction_pure_tone_audiometric,affects,both_ears,0.4652518659830093,span,2,2,2,0.25,A pure-tone air conduction audiometric test does not 'affect' both ears; it measures hearing and the relation is semantically awkward.,,93_-_Alz___Dem_Diag_Ass___Dis_Mo_-_2024_-_Medel_-_Cochlear_dysfunction_as_an_e_efLY7H7_59,2.3 audiological evaluations
sedentary_behavior,risk_factor_of,alzheimer_s_disease,0.6756054937839509,span,4,5,5,0.9166666666666667,"Sedentary behaviour is an established lifestyle risk factor for cognitive decline and Alzheimer’s disease, and the triple is well formed.",,62_-_danish-et-al-2024-intersections-of-modifiable-risks-loneliness-is-associa_20wxD2u_43,keywords
cognitive_impairment,treated_by,primary_care,0.5510705322027207,span,5,4,4,0.8333333333333333,"Cognitive impairment is appropriately and commonly treated/managed in primary care settings, so this is accurate and well formed.",,16_-_s12877-024-04675-1_IIVGszy_9,introduction
plates,read,thermoscientific,0.15000000000000002,pos,4,2,2,0.41666666666666663,"Plausible that plates are read on Thermo Scientific instruments, but subject/object types and relation are underspecified for the schema.",,46_-_1-s2_FReAaUm,2.7.lipidmeasurements
majority,is_a,women,0.3,copular,4,3,2,0.5,Saying the majority are women is a plausible demographic statement but the 'is_a' predicate is nonstandard for the schema.,,2_-_dc231524_M1uM06w_1,results
sort_decision,base_on,measurements,0.35,svo,4,3,3,0.5833333333333334,Decisions to sort based on measurements is a sensible procedural statement though phrased informally.,,46_-_1-s2_FReAaUm,2.3.isolationofhypothalamic tanycytes using fluorescenceactivated cell sorting
squared_term,account,age,0.15000000000000002,pos,4,3,2,0.5,"A squared term can account for nonlinear age effects, which is plausible, but the predicate is informal and the triple is not tightly structured.",,20_-_med3789_rH3Cojx_12,statistical analysis
alcohol,causes,reduced,0.6484061539173127,span,2,1,1,0.08333333333333331,The claim is vague and incomplete ('reduced' without an object) so it is not clearly testable or well-formed.,,113_-_CNS-30-e70057_hB8kVVH_66,4 | discussion
alzheimer_s_disease_risk,affects,women,0.48751022219657897,span,2,2,2,0.25,"It is true that women have different AD risk, but phrasing that 'AD risk affects women' is semantically awkward and poorly formed.",,49_-_besser-et-al-2024-intersectionality-of-gender-with-social-determinants-of_kuLsWan_32,discussion
snps,associate,dementia,0.2,pos,5,4,4,0.8333333333333333,"SNPs being associated with dementia is a clear, plausible gene–disease association and fits the schema well.",,71_-_1-s2_JQqHHNg,articles
mild_cognitive_impairment,affects,among_females,0.4377233266830444,span,3,1,2,0.25,"'Affects among_females' is awkwardly phrased and provides little clear, well‑formed information.",,120_-_s12877-024-05054-6_yX1OhhV_71,results
microbiota-gutbrain_axis,part_of,brain,0.42518024444580077,span,1,2,3,0.25,Incorrect to assert the microbiota–gut–brain axis is part of the brain; it is a bidirectional communication system linking gut and brain.,,47_-_xi-et-al-2024-can-early-gut-microbiota-screening-reduce-the-incidence-of-_VWRUL3S_31,discussion
blood_samples,part_of,uk_biobank,0.5511829167604447,span,5,4,5,0.9166666666666667,"Blood samples are indeed part of the UK Biobank resource, making this a correct and well-formed statement.",,105_-_s12916-024-03418-8_sYLiP2s_61,demographics
risk_factors,extract,only_components,0.15000000000000002,pos,1,1,1,0.0,Nonsensical fragment with unclear object and a predicate that does not fit the schema.,,30_-_s41997-024-00920-7_dKl4Wsr_17,statistical analysis
brain,signal,signaling_standpoint,0.15000000000000002,pos,1,1,1,0.0,Object is meaningless and the predicate does not express a clear biomedical relation.,,64_-_Alzheimer_s___Dementia_-_2024_-_Charisis_-_Leptin_bioavailability_and_mar_6jCZ8bG_44,1 background
matching,prevents,dementia,0.5513182789087296,span,1,1,1,0.0,The subject 'matching' is not a clear biomedical entity and the claim is nonspecific and ill-formed.,,54_-_Alzheimer_s___Dementia_-_2023_-_Brady_-_Sex_and_gender_differences_in_ris_ZePv4lX_35,2.2 matched-cohort approach for gender analysis
atrophy,occurs_in,chinese_older_adults,0.46831566393375396,span,4,3,4,0.6666666666666666,"Atrophy occurring in Chinese older adults is plausible but generic, and the triple is otherwise well formed.",,59_-_brainsci-14-00170_74sUHiR_40,1. introduction
tbi,have,next_highest_crude_pafs,0.15000000000000002,pos,3,3,2,0.41666666666666663,"Similarly plausible that TBI might rank with next-highest crude PAFs, but the predicate 'have' is imprecise and not in the schema.",,30_-_s41997-024-00920-7_dKl4Wsr_17,sensitivity analyses
diabetes,leadsto,high_production,0.15000000000000002,pos,3,2,2,0.33333333333333337,"Diabetes can lead to various 'high production' processes in context, but the object is vague and the triple is underspecified.",,2_-_dc231524_M1uM06w_1,conclusions
cardiovascular_risk_factors,consider,reflect,0.39999999999999997,svo,2,1,1,0.08333333333333331,"Unclear meaning ('consider reflect') with a nonstandard predicate and an object that is not a domain entity, so the triple is ill-formed.",,57_-_wei-et-al-2024-modifiable-and-non-modifiable-risk-factors-for-dementia-am_OCoG51B_38,keywords
blood_pressure,use,validated_oscillometric_device,0.15000000000000002,pos,3,3,2,0.41666666666666663,"Intended meaning (use of validated device to measure blood pressure) is correct, but subject/predicate phrasing is awkward.",,2_-_dc231524_M1uM06w_1,research design and methods
mild_cognitive_impairment,from,cities,0.3,prep,3,2,2,0.33333333333333337,"It is plausible to state MCI cases are from cities, but the predicate 'from' is informal and the triple is underspecified.",,83_-_Accuracy_of_the_revised_Addenbrooke_Cognitive_Examination_ACE-R_mqDF73m_54,discussion
abstainers_from_alcohol,risk_factor_of,those_assigned_female,0.3771050423383713,span,1,1,2,0.08333333333333331,"Being an alcohol abstainer is not a risk factor for being female, so the claim is incorrect and the relation is mismatched.",,54_-_Alzheimer_s___Dementia_-_2023_-_Brady_-_Sex_and_gender_differences_in_ris_ZePv4lX_35,3.1.2riskprofiles by sex
j-­shaped_relationship,between,sunlight_exposure,0.2,prep,2,1,1,0.08333333333333331,"A J-shaped relationship is plausible in some contexts, but the triple is malformed because it only names one side ('between' requires two entities/outcomes).",,113_-_CNS-30-e70057_hB8kVVH_66,4 | discussion
familiarization_step,investigate,investigated_association,0.1,pos,2,2,2,0.25,"A familiarization step might investigate an association, but the object duplicates the predicate and the triple is redundant and vague.",,2_-_dc231524_M1uM06w_1,research design and methods
community_participation,prevents,brain,0.4820429444313049,span,1,1,1,0.0,Saying 'community participation prevents brain' is incoherent: 'brain' is an anatomy and not a plausible prevented outcome.,,92_-_PIIS2666606524000452_q1YNam3_58,social isolation
charls,employ,several_strategies,0.3,svo,4,3,3,0.5833333333333334,"Reasonable that CHARLS employs several strategies, but the triple is generic and the predicate is informal.",,11_-_PIIS2666606524001007_9MNVWIN_5,data source and participants
calcium_signaling,occurs_in,inhibitory/_gabaergic_neurons,0.4600077003240585,span,5,4,4,0.8333333333333333,Calcium signaling does occur in inhibitory/GABAergic neurons and the triple is specific and well-formed though the subject is a pathway rather than a listed entity type.,,37_-_ENEURO_8cwR40c,gabaergic/inhibitory neurons
many_scholars,have_propose,new_model,0.3,svo,4,2,2,0.41666666666666663,"Many scholars proposing a new model is plausible, but the predicate is grammatically incorrect and the triple is generic.",,47_-_xi-et-al-2024-can-early-gut-microbiota-screening-reduce-the-incidence-of-_VWRUL3S_31,keywords
stronger_effect,occurs_in,women,0.451697501540184,span,4,3,3,0.5833333333333334,"A stronger effect occurring in women is plausible and informative, though the subject is an abstract effect label.",,25_-_genes-15-00153_coMgvEa_13,3.4.latent class analyses
optimal_lifestyle,leads_to,cognitive,0.5167575657367707,span,1,1,1,0.0,The object 'cognitive' is incomplete (adjective) so the triple is poorly formed and cannot be evaluated as a factual claim.,,45_-_s40120-024-00666-x_SVToKWc_29,discussion
mrna_levels,measured_by,quantitative_pcr,0.5595597624778748,span,5,4,5,0.9166666666666667,"mRNA levels are routinely measured by quantitative PCR, making this precise, relevant, and well-formed.",,46_-_1-s2_FReAaUm,"2.13.rnaextraction, measurement and profiling of pancreatic islets"
development_funds,from,american_institutes,0.2,prep,3,2,2,0.33333333333333337,Plausible funding provenance claim but uses informal relation 'from' and imprecise organization name.,,68_-_Alzheimer_s___Dementia_-_2024_-_Huh_-_General_cognitive_ability_in_high_s_HHQaFnX_47,acknowledgments
parkinson’s_disease,part_of,neurodegenerative_diseases,0.44737941324710845,span,5,4,5,0.9166666666666667,Parkinson's disease is correctly a neurodegenerative disease and the triple is well-formed.,,122_-_s11357-024-01224-x_xovPrUB_72,introduction
tbi,occurs_in,age_range,0.805960050225258,span,4,3,3,0.5833333333333334,"TBI can occur within particular age ranges, so the triple is plausible though generic.",,12_-_s12916-024-03464-2_KAy1DzV_6,calculation of population attributable fractions
heart_problems,risk_factor_of,dementia_and/or_alzheimer_s_disease,0.6244491517543793,span,4,3,3,0.5833333333333334,"Heart problems can contribute to dementia and possibly Alzheimer's, yet the combined object and vague subject make the triple less well-formed and specific.",,54_-_Alzheimer_s___Dementia_-_2023_-_Brady_-_Sex_and_gender_differences_in_ris_ZePv4lX_35,2.1 dataset
genetics,predicts,cognitive_status,0.4860489577054977,span,4,4,4,0.75,"Genetic information can be used to predict cognitive status, making this a valid, informative, and well-formed triple.",,49_-_besser-et-al-2024-intersectionality-of-gender-with-social-determinants-of_kuLsWan_32,discussion
simple_cross-validated_classifier_model,predicts,cognitively_intact,0.5583050698041916,span,4,4,4,0.75,"Similarly, a classifier that predicts cognitive intactness is plausible and well formed as the inverse classification target.",,36_-_jmir-2024-1-e49794_bCxMZ5Y_23,journal of medical internet research
cholesterol,part_of,plasma_lipids,0.487331411242485,span,5,4,5,0.9166666666666667,Cholesterol is correctly part of plasma lipids and the triple is clear and appropriate.,,109_-_s12889-024-18478-x_YODN5MZ_64,statistical analysis
discriminative_validity,measured_by,receiver_operating_characteristicscurve,0.380055695772171,span,4,3,3,0.5833333333333334,"Discriminative validity is often assessed using ROC curves, so the relation is plausible though the object is a method rather than a standard entity type.",,16_-_s12877-024-04675-1_IIVGszy_9,data analysis
frontotemporal_dementia,part_of,subtypes_of_dementia,0.4838953197002411,span,5,3,4,0.75,"Frontotemporal dementia is correctly represented as a subtype of dementia, though phrasing is generic.",,35_-_s12916-024-03424-w_OUo7vC9_22,the role of outcome coding on heterogeneity of odds ratios
